file,method,pages,body_chars,total_lines,non_empty_lines,short_lines,garbage_chars,garbled_seqs,empty_ratio,score,issues
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-I.md,beautifulsoup (eli-subdivision parsing),0,44781,478,239,1,0,17,0.5,72,garbled_sequences:17
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-II.md,beautifulsoup (eli-subdivision parsing),0,15288,239,120,0,0,21,0.498,73,garbled_sequences:21
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-III.md,beautifulsoup (eli-subdivision parsing),0,2884,47,24,0,0,3,0.489,78,garbled_sequences:3
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-IV.md,beautifulsoup (eli-subdivision parsing),0,1857,25,13,0,0,2,0.48,84,
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-IX.md,beautifulsoup (eli-subdivision parsing),0,30426,224,112,1,0,18,0.5,71,garbled_sequences:18
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-V.md,beautifulsoup (eli-subdivision parsing),0,526,12,8,0,0,2,0.333,90,
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-VI.md,beautifulsoup (eli-subdivision parsing),0,17927,313,157,0,0,30,0.498,73,garbled_sequences:30
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-VII.md,beautifulsoup (eli-subdivision parsing),0,59249,671,336,0,0,13,0.499,73,garbled_sequences:13
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-VIII.md,beautifulsoup (eli-subdivision parsing),0,5901,109,55,0,0,4,0.495,73,garbled_sequences:4
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-X.md,beautifulsoup (eli-subdivision parsing),0,12022,87,44,0,0,3,0.494,78,garbled_sequences:3
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-XI.md,beautifulsoup (eli-subdivision parsing),0,5049,55,28,0,0,5,0.491,73,garbled_sequences:5
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-XII.md,beautifulsoup (eli-subdivision parsing),0,3611,61,31,0,0,9,0.492,73,garbled_sequences:9
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-XIII.md,beautifulsoup (eli-subdivision parsing),0,20705,257,129,0,0,19,0.498,73,garbled_sequences:19
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-XIV.md,beautifulsoup (eli-subdivision parsing),0,10005,109,55,0,0,23,0.495,73,garbled_sequences:23
aria/knowledge/eu/01-regulation/ivdr-2017-746/annex-XV.md,beautifulsoup (eli-subdivision parsing),0,2369,69,67,0,0,2,0.029,90,
